frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender,r_hip_vel,r_knee_vel,r_ankle_vel,r_elbow_vel,r_shoulder_vel,r_hip_accel,r_knee_accel,r_ankle_accel,r_elbow_accel,r_shoulder_accel
1,178.86735960885323,170.1046271171013,115.20406838410192,161.6513399364085,0.5112013768369366,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,178.83928720565464,170.13781343993733,115.26532711013655,161.38684675874364,0.5293214836057132,female,-0.4210860479788891,0.4977948425404577,0.91888089051956,-3.967397664972907,0.2718016015316493,-6.316290719683337,7.466922638106865,13.7832133577934,-59.510964974593605,4.07702402297474
3,178.82595454439925,170.19798347466175,114.283870468851,162.3487090737736,0.1995004217835547,female,-0.1333266125539012,0.6017003472442184,-9.81456641285547,9.61862315029947,-3.2982106182215847,-1.333266125539012,6.017003472442184,-98.1456641285547,96.1862315029947,-32.982106182215844
4,177.9174989483095,169.170277599362,112.71036469587791,161.63321982963973,0.1265880220461781,female,-6.813416970673245,-7.707794064748086,-11.801293297298194,-5.366169331003974,-0.5468429980303244,-51.10062728004934,-57.80845548561064,-88.50969972973645,-40.2462699825298,-4.101322485227433
5,177.9174989483095,168.66276302008208,111.5953104489677,163.97631785640246,1.3037210199009228,female,0.0,-3.0450874756795656,-6.690325481461315,14.058588160576392,7.0627979871284685,0.0,-18.270524854077397,-40.14195288876789,84.35152896345835,42.376787922770816
6,177.0094970341948,167.63800346166175,111.08900792635868,164.6902470052881,2.407195047089937,female,-4.54000957057346,-5.123797792101641,-2.531512613045095,3.5696457444281293,5.517370135945071,-22.7000478528673,-25.618988960508204,-12.657563065225474,17.848228722140647,27.58685067972535
7,177.3990419124982,166.71018122400866,108.51579888146,165.854204505897,2.7304691226081874,female,1.6694780498717623,-3.976381018513239,-11.028038763851466,4.988389288323925,1.3854603236496446,7.154905928021838,-17.04163293648531,-47.26302327364914,21.378811235673965,5.937687101355619
8,175.9747104201726,164.18591581611005,107.02632008758354,166.13475548110856,3.174100623781971,female,-5.341243096220971,-9.46599527961979,-5.585545477036717,1.0520661570433276,1.663618129401689,-20.029661610828644,-35.49748229857421,-20.94579553888769,3.945248088912479,6.238567985256334
9,174.3907255535542,163.67760253076315,104.23078224063354,165.85016388120857,3.621484704117334,female,-5.279949555394694,-1.6943776178230034,-9.318459489833328,-0.9486386663332762,1.4912802677845427,-17.59983185131565,-5.647925392743345,-31.06153163277776,-3.1621288877775875,4.970934225948476
10,171.97941962207844,160.45670326015426,104.64990410581296,168.49723733513142,5.52062175119371,female,-7.233917794427299,-9.662697811826687,1.2573655955382603,7.941220361768529,5.697411141229129,-21.701753383281897,-28.988093435480067,3.7720967866147816,23.823661085305588,17.092233423687386
