frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang
1,164.18591581611005,163.2133956819741,165.54541936359718,156.70269669782988,18.985541400187742
2,165.29472794386996,161.1708203835544,162.3940319374175,156.45293463769835,19.235303460319244
3,168.1650097786153,163.53604012917853,159.27841366299947,154.44892754570733,20.3720802178089
4,173.20190612921064,170.77263280571066,158.68208772453843,154.2729922124953,19.18550561928629
5,175.3557356485386,174.54760823869205,156.27496997170672,158.3949851640574,17.76131830104049
6,176.18592516570962,176.18592516570968,161.2502423696889,156.9707978458116,18.434948822922024
7,176.05658953998682,176.18592516570968,161.86191784440268,162.22200477011418,16.875086164042898
8,175.0424276945562,174.05575292887175,160.74590745299543,160.43028917243757,16.875086164042898
9,174.1395186287133,174.05575292887175,160.74590745299543,158.65999613041353,17.777995229885846
10,172.14190836644283,172.95648541620255,160.74590745299543,158.25032950943958,18.676337979487073
11,172.14190836644283,172.95648541620255,160.74590745299543,151.50164812800352,20.680345071478087
12,172.14190836644283,172.95648541620255,160.74590745299543,151.50164812800352,20.680345071478087
13,172.14190836644283,174.4374321433405,165.10981763267287,154.6851075818423,18.676337979487073
14,172.1003896929034,174.21760767763595,164.9315118405078,160.02613175269153,15.103140864493867
15,173.01753166246598,176.7566266032049,165.9222829385113,159.53538761209043,15.264619702807067
16,175.67035340567242,178.6104125370106,168.50486288902664,160.18469710363354,14.814156707433654
17,179.1543672442804,168.71899017850197,177.45895518576634,9.920012962402046,7.372436437475642
18,168.91743053697033,147.85809017299815,160.58244585842058,6.34019174590991,9.142289968138414
19,159.051623593886,126.49812058851856,154.79887635452494,18.225075111354467,10.928713734889698
20,143.5427899076757,108.70695954352078,153.89030541214385,27.791204685349463,8.024876063806232
21,134.9638512480058,95.06361685303011,149.60727884104125,46.20183306445212,0.8463865214553721
22,131.84861257382033,88.54653834734245,152.15760069199408,73.06310495140872,11.377102173040935
23,139.89131219386164,88.99896593454571,144.1426432657767,108.98441199091415,26.70567320604555
24,142.26423709868263,88.21008939175391,143.79741070999108,131.65140518554313,34.387168086860484
25,161.93952806380082,94.77318224171836,136.33221985386965,149.48358881237579,38.9275435927923
26,177.2297842027998,117.82409638425327,134.08430109256523,175.47811121854193,27.787109275300207
27,164.53912345412186,164.39511764267672,130.9310940243869,168.50955211975298,21.000189652695394
28,152.16994791989697,176.69766840015507,142.9434718105904,178.5453409949921,3.967180769037043
29,153.368557451115,168.97654403625685,179.71352348972292,177.19688505811118,17.169120340859365
30,149.77816173293738,156.8685791853725,168.17851165939277,174.46940293219066,32.44149382026052
31,146.98296493854792,170.37441503375862,178.02506598911802,168.46876395476997,39.39465599675481
32,145.08245556059998,139.02826366648515,147.09475707701208,167.8805322663056,37.67277808582844
33,137.7048759857356,78.34810003227913,99.2726017772003,172.18470645323313,31.675468738109203
34,136.00600265706092,76.89029213951753,111.53731145117666,177.31622484053102,23.9749303791952
35,136.90743529392196,83.62075183238687,113.55226367289461,168.20360561574867,23.026859808654592
36,142.09701174368175,91.8601834015209,123.0104692133377,165.05437608287437,6.286893361736475
37,147.480841391757,115.05293611090902,134.4929709390852,159.5504523892074,9.301011271892754
38,154.7278632371836,129.2014927724528,130.90867248751007,158.38522105721373,14.63716045195454
39,163.31054489618845,144.7075737411,118.8865817669107,162.88095558196508,13.493093773748656
40,165.5297058999341,150.70863782901577,111.80140948635182,166.62866803010806,9.757451217888276
41,158.04093013920098,143.22833294952392,108.6391117342124,166.56897112931833,8.923988443631398
42,151.8731412947642,141.6544250460066,106.73022050391475,146.3099324740202,19.133643205905493
43,149.81739272530984,140.84099528679766,108.35006624870604,103.57043438516149,9.377060694304355
44,151.7129677737343,144.3538800917191,109.56294192579506,55.417855749266664,1.1573330681295224
45,149.82195018228364,141.1112563932918,110.62552268696021,75.52970589993413,1.1934894239820437
