frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender
1,178.86735960885323,170.1046271171013,115.20406838410192,161.6513399364085,0.5112013768369366,female
2,178.83928720565464,170.13781343993733,115.26532711013655,161.38684675874364,0.5293214836057132,female
3,178.82595454439925,170.19798347466175,114.283870468851,162.3487090737736,0.1995004217835547,female
4,177.9174989483095,169.170277599362,112.71036469587791,161.63321982963973,0.1265880220461781,female
5,177.9174989483095,168.66276302008208,111.5953104489677,163.97631785640246,1.3037210199009228,female
6,177.0094970341948,167.63800346166175,111.08900792635868,164.6902470052881,2.407195047089937,female
7,177.3990419124982,166.71018122400866,108.51579888146,165.854204505897,2.7304691226081874,female
8,175.9747104201726,164.18591581611005,107.02632008758354,166.13475548110856,3.174100623781971,female
9,174.3907255535542,163.67760253076315,104.23078224063354,165.85016388120857,3.621484704117334,female
10,171.97941962207844,160.45670326015426,104.64990410581296,168.49723733513142,5.52062175119371,female
11,168.20585454212952,156.2501706457953,106.99384953079986,169.63805354208054,7.3625647951640625,female
12,162.93905702029372,152.51057220982474,107.06921544854632,164.46362797635973,7.266854233870087,female
13,166.10924064335236,153.0555391384219,101.65590695843254,158.90138528697858,5.321617476809987,female
14,169.0905037416103,155.32175555388963,102.54197970303926,159.63349989608886,4.4526126585233134,female
15,168.58254775231262,162.15243452154883,111.03439771656988,159.55045238920744,5.38996161302317,female
16,165.68962436164543,167.17872154874257,116.10810970336264,160.57374813511652,8.226957471894204,female
17,165.53542803908547,174.47245984834382,122.57405713457251,159.71744091108343,10.269251663127992,female
18,165.83783194468725,178.30829366635612,119.05780027859632,158.4117728453317,11.056412980248185,female
19,162.34038245130378,178.61222431855293,118.67544467674377,154.7288044707728,11.21454076941712,female
20,160.06200825579447,179.68735823492304,115.96122664678214,155.7169821261543,11.68936917543919,female
21,160.3574078230305,177.77347663939284,115.83918215987008,157.15405586527544,12.780197882732288,female
22,158.3944727573615,178.27148596592872,117.41965805668464,157.14926615461422,13.72229713313354,female
23,158.09626341920554,175.45423556139792,118.47482120117856,159.168596785792,15.93122033750609,female
24,156.3773285452231,179.74066102967834,117.34092663556537,161.45747576838292,17.03743210832695,female
25,157.11109779042656,177.51003829545272,119.99954695981567,160.4554742033158,17.400377664748195,female
26,156.70174130651347,179.83051421148505,118.70417556642302,160.835062828544,17.627338572436276,female
27,158.2883531027593,179.6875418450374,129.9679017879625,156.7269151624804,15.342751222967914,female
28,158.88649992163474,178.7333650264057,134.70879142997873,152.2607660744464,14.534455080540113,female
29,159.29284615494376,179.81100166655588,133.46756274497906,150.59536677080436,14.12810884723108,female
30,161.1469284322223,178.34076256425885,132.9156316620983,152.35632801504627,14.783055785417549,female
31,163.05948952014768,178.47398832899478,133.26970188953527,149.67232596395272,11.172556487078424,female
32,167.3137473774667,177.9356442605397,128.91496512496138,154.0205752377297,11.850068005561813,female
33,168.6825286076663,178.13122395014622,124.30612743437902,155.2648768173195,10.220240061580736,female
34,167.96576372645248,177.08267616752573,122.55679857598685,158.88991147485496,10.90787044671086,female
35,167.56553057241416,176.34360943784907,119.55994260557488,154.6216805666075,7.626454780609078,female
36,172.3474478100158,177.65846459986568,117.81887183066596,152.89187712919824,4.506918293760599,female
37,170.6150747124461,171.1867226780928,113.40935321521104,149.99372629274424,0.8314909892586351,female
38,174.53788515021407,172.91241462207566,112.77060653672602,152.58723096361774,1.0544351550236115,female
39,174.16715381962973,170.695939640168,107.67632710723916,153.40565436512904,3.0768274327995755,female
