frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang
1,176.42366562500263,173.11827636936306,100.35973576830298,159.5074052301297,2.4961220322103372
2,173.32720587627745,174.90788487550105,103.77098712455052,165.6960211933713,1.3088147164815496
3,172.73502252414843,173.9198256665995,102.78292791564894,166.21724203788665,0.7166313643525086
4,171.78176973103305,174.73230287195577,104.34933204294714,166.71346223151298,0.7166313643525086
5,172.3739530831621,174.58651239903654,104.922697686573,165.11767783233438,0.10087274703437288
6,171.42228347498346,175.53818200721517,103.17184350003015,166.42956561483848,0.10087274703437288
7,172.05833346319793,175.2304533541764,105.37886749446423,167.2380733170033,0.6360499882144381
8,174.77622011571265,174.2787837459978,105.37886749446423,165.53439190462743,1.1421569866088248
9,175.31769243379816,174.3272163460538,106.19151908871797,165.53439190462743,1.732061904750367
10,176.49850495918557,174.3272163460538,106.19151908871797,164.76504166891564,1.699952827991865
11,175.00473625238303,175.06791257173518,105.21632671202298,163.8556612197165,1.1094211293118974
12,175.0670820161474,174.11419095759504,103.56105240071724,161.20823154047324,1.0645536525684065
13,174.53714427351466,173.87208534769337,104.1431883358203,162.32894963800797,1.5949909233956987
14,175.45831446276574,172.2787387848686,102.70711350131654,159.26422616226864,1.5949909233956987
15,175.23091792654182,171.51345649568583,104.47029410006587,159.1384300675979,1.5338269005382585
16,174.97723458727722,167.82585581392888,99.86278254130764,158.54231051967295,0.35701430703289816
17,178.86157985629242,159.5368745010586,98.75421470036122,159.6570438466489,0.8845848178156075
18,178.17591016762387,152.31893843151474,95.0849606047218,159.14554196042164,0.409666620973951
19,175.34295568864255,149.87095735585805,93.52463506169863,161.70333517127685,1.733918505213353
20,171.6465963849577,147.10941126415256,90.36377783886456,166.58912643561752,2.8829634525395704
21,167.31939628971537,148.88444746679338,94.61992348166041,167.0959368072048,2.22284993097054
22,164.5353098114602,150.6552931672947,97.6015996946075,164.57162717953415,0.5392666689272687
23,161.95012490187452,154.34305474497742,100.51479009100422,167.00163201131568,1.740725249580919
24,161.7509814588504,158.79861796380598,109.0038504226005,167.0053832080835,3.41534783545103
25,161.70308531158443,162.31012289749722,110.20531313548932,168.1478826311278,4.605743405761302
26,166.59594161383953,170.46237872246505,115.17458626039246,166.7050653615238,4.521723479461798
27,166.23406013850425,172.5626598061707,113.46487417124243,162.10695554648368,4.581369282934304
28,167.53273445785027,175.0644692247089,110.36734425326009,163.79301407826944,7.19770362930177
29,170.99661777789186,178.40811063707076,109.5227126633061,162.58402198317566,3.714333416528575
30,171.52268615563193,176.42203758023527,113.58124351108196,163.69062375654738,3.128413041671706
31,172.26738428836305,175.0909378613445,112.76361047257473,164.2762430817035,7.24843755115603
32,172.4335765172467,172.87498365109818,113.00887008282288,158.40468955103228,4.840112488847069
33,175.82159352600067,173.224343830601,113.96248897457815,166.41961785531467,1.55859662383142
34,178.2966367600207,171.58646841242825,117.62827873725118,172.34934904464058,2.735236165888125
35,177.36845642862474,173.6240039909718,115.02613175269153,170.39295398114413,0.40193257053490233
36,178.99491399474581,178.50936816473768,111.8561680993513,171.6141539839878,1.4975877390175123
37,176.97731873142934,177.90081251090368,111.53631677811259,166.32869286780416,0.49677176692466674
38,172.3666694127687,174.03551289874687,108.83948866086558,170.17274145624373,0.13183543119401975
39,173.8714571018014,173.92416709568306,112.05282767547308,169.64094751191627,4.618668041467913
40,174.47804423229428,173.78907756087807,113.23452163869652,161.52658473135477,1.5365895302528543
41,178.20628239935706,179.91990343589546,109.66860720408741,163.61400893062728,1.360982792976074
42,178.0934813578848,173.94219609146313,106.64503821467594,167.41732601447833,2.503139779584899
43,175.46731567073255,169.44235311902187,102.99461679191648,171.4449474384652,5.241711508850585
44,177.31622484053102,170.66179979452443,107.49111691441504,167.75235798133141,3.5035316447844593
45,179.40934278535332,174.28940686250036,103.38289886298594,174.90592287364973,6.537520268620199
46,173.64174377381732,177.4736686155265,104.78576259948909,161.1506223864705,8.306205262228445
47,175.09890251473516,178.57973445360096,100.96338964632957,156.5336741476496,7.881195729699755
48,170.4488246141803,179.04122604425197,97.9125655016204,151.2864381797817,9.074235827395341
49,172.0810975616228,178.80828345118024,91.22779266783658,143.35592914454992,9.66094898827805
50,176.19790270954243,175.26692107087675,91.58269006485017,147.20827522362146,13.655365453898185
51,175.28977737432186,173.0614652030201,90.37001230952677,147.52880770915152,16.699244233993625
52,175.01121674907242,172.18116616333137,88.61794747870448,143.861722752411,14.84423967826848
53,172.47446361538036,172.20278385007805,87.7423931675932,148.1340223063963,20.068669596764323
54,164.2706917175846,173.20316669841853,86.83861965554479,152.94420468232087,17.3680654249477
55,162.06079956751336,173.20211749971367,90.0,158.02957690501967,15.564236549927557
56,160.67593218305626,169.12647960474496,92.78613651759883,157.50295539869703,13.243455789005168
57,162.71830818095813,160.66961352467354,97.7651660184253,156.59091895824943,10.488562630290687
58,160.79505522814134,154.71221008746699,104.36534580309734,157.79531459310445,7.925245113241317
59,164.49192869335076,137.2754564382542,116.56505117707795,152.76648197022084,0.3825818354040962
60,167.3741631210927,129.5747736315797,117.25532837494305,155.5661556446617,2.667766280446333
61,164.15933545635312,138.38598770206198,117.36882607893588,161.28163731422524,3.2906668554781424
62,168.6696266493896,146.1583144698825,120.50522114106855,161.14947885921873,1.2986743193460168
63,174.0652947437187,155.65397375079166,125.32298735127915,169.00709875064814,3.217537109822331
64,179.7753118203755,153.76806006684336,104.50016676655258,164.62895077851195,0.9771223258632062
65,178.61547729332682,156.5197611534196,105.2290903800646,163.1727704567281,0.5294253104064524
66,176.77959213938942,164.46477705318785,106.26665657242668,161.27754788647806,0.7416515137060742
67,180.0,164.35316602692671,103.55696200710992,162.03086025984297,5.1555843174062375
68,176.81515361508878,166.64013119796655,103.05353973085221,157.6169274561428,5.439123335785723
69,177.88451860226402,171.2443196391582,105.06539827223247,160.794302431686,1.1726737716160756
70,177.70721730348913,176.47080970063297,109.08416499755432,163.55050976159492,1.040859626585288
71,176.38976904815152,176.08674905671273,111.68804716309566,164.8722050418296,12.360821132129502
72,174.29115991157698,175.7218459208174,105.83328810695411,155.40362883393232,9.389795943580964
73,176.87147295642512,172.66263849803443,108.99665415548856,159.70169534616252,9.16966217871908
74,178.14487848870064,174.3316396161636,107.54747760769226,166.23642921242757,1.8167452414098761
75,179.2494432036357,176.15630346509786,110.07673504531473,167.92471141680645,2.174744114610064
76,178.86322324251032,177.910348826326,116.31237021539368,144.83415234946366,10.952954043287942
77,177.8524145717015,175.09442025236393,119.38462073279919,142.63981658180185,16.253659184030095
78,177.75850639188968,178.73209116150932,117.92958012552089,159.38181187689548,3.4196469030386223
79,172.27606384697893,176.13748437617494,115.5166985917806,167.7455857674543,1.9365666794752325
